1001|3.45|2.87|1.98|4.05|2.50|1.34|1.76|2.32|258
1002|2.88|3.21|2.44|3.10|2.01|1.67|1.95|2.25|173
1003|3.12|2.76|2.00|4.20|2.33|1.55|1.89|2.44|309
1004|2.55|3.10|2.98|3.80|2.60|1.88|1.73|2.12|142
1005|3.40|2.33|2.22|3.95|2.45|1.66|1.82|2.38|196
1006|1.98|2.67|2.76|3.45|2.10|1.70|1.90|2.20|221
1007|3.05|2.88|2.34|4.00|2.77|1.59|1.79|2.60|187
1008|2.67|3.01|2.49|3.60|2.34|1.77|1.84|2.30|244
1009|2.88|2.55|2.66|3.35|2.00|1.82|1.91|2.18|168
1010|3.22|2.95|2.10|3.90|2.69|1.68|1.87|2.47|203

